id,room,noted_date,temp,location
__export__.temp_log_192930_aed74f4c,Room Admin,07-12-2018 14:52,29,in
__export__.temp_log_192931_6939823a,Room Admin,07-12-2018 14:52,29,in
__export__.temp_log_192918_ea91f1e5,Room Admin,07-12-2018 14:50,29,in
__export__.temp_log_192919_4b707d37,Room Admin,07-12-2018 14:50,29,in
__export__.temp_log_192908_0c035ac9,Room Admin,07-12-2018 14:48,29,in
__export__.temp_log_192909_ed2b608c,Room Admin,07-12-2018 14:48,29,in
__export__.temp_log_192901_147ec3b1,Room Admin,07-12-2018 14:46,29,in
__export__.temp_log_192900_3ccc6b81,Room Admin,07-12-2018 14:46,29,in
__export__.temp_log_192890_858eae45,Room Admin,07-12-2018 14:44,29,in
__export__.temp_log_192891_43e8938a,Room Admin,07-12-2018 14:44,29,in
__export__.temp_log_192879_e1fcf292,Room Admin,07-12-2018 14:42,29,in
__export__.temp_log_192876_ec5f7caf,Room Admin,07-12-2018 14:42,29,in
__export__.temp_log_192837_4753f75e,Room Admin,07-12-2018 14:34,29,in
__export__.temp_log_192836_47d28080,Room Admin,07-12-2018 14:34,29,in
__export__.temp_log_192830_f00762b5,Room Admin,07-12-2018 14:32,29,in
__export__.temp_log_192831_49ed228b,Room Admin,07-12-2018 14:32,29,in
__export__.temp_log_192823_4d4abc0e,Room Admin,07-12-2018 14:30,29,in
__export__.temp_log_192822_c3f04dee,Room Admin,07-12-2018 14:30,29,in
__export__.temp_log_192816_d201b889,Room Admin,07-12-2018 14:28,29,in
__export__.temp_log_192817_fc7bb2fe,Room Admin,07-12-2018 14:28,29,in
__export__.temp_log_192810_e4527863,Room Admin,07-12-2018 14:26,29,in
__export__.temp_log_192811_6d30e66c,Room Admin,07-12-2018 14:26,29,in
__export__.temp_log_192806_b8cc740d,Room Admin,07-12-2018 14:24,29,in
__export__.temp_log_192807_996fd39f,Room Admin,07-12-2018 14:24,29,in
__export__.temp_log_192798_2359ce5a,Room Admin,07-12-2018 14:18,29,in
__export__.temp_log_192799_1d948f78,Room Admin,07-12-2018 14:18,29,in
__export__.temp_log_192793_e2b93680,Room Admin,07-12-2018 14:16,29,in
__export__.temp_log_192792_a758ba31,Room Admin,07-12-2018 14:16,29,in
__export__.temp_log_192783_ce6312cc,Room Admin,07-12-2018 14:14,29,in
__export__.temp_log_192784_c7598e2a,Room Admin,07-12-2018 14:14,29,in
__export__.temp_log_192780_7fd90434,Room Admin,07-12-2018 14:12,29,in
__export__.temp_log_192781_74a76d39,Room Admin,07-12-2018 14:12,29,in
__export__.temp_log_192773_3fe96ced,Room Admin,07-12-2018 14:08,29,in
__export__.temp_log_192772_f60fe10f,Room Admin,07-12-2018 14:08,29,in
__export__.temp_log_192767_76ca5759,Room Admin,07-12-2018 14:06,29,in
__export__.temp_log_192764_c682fc6a,Room Admin,07-12-2018 14:06,29,in
__export__.temp_log_192755_a80cc955,Room Admin,07-12-2018 14:00,29,in
__export__.temp_log_192753_e2cc1c29,Room Admin,07-12-2018 14:00,29,in
__export__.temp_log_192746_9816cba2,Room Admin,07-12-2018 13:58,29,in
__export__.temp_log_192747_d9544240,Room Admin,07-12-2018 13:58,29,in
__export__.temp_log_192735_f190159d,Room Admin,07-12-2018 13:54,29,in
__export__.temp_log_192734_b729b847,Room Admin,07-12-2018 13:54,29,in
__export__.temp_log_192730_58a81d1e,Room Admin,07-12-2018 13:52,29,in
__export__.temp_log_192731_7f2d6c39,Room Admin,07-12-2018 13:52,29,in
__export__.temp_log_192722_141984ec,Room Admin,07-12-2018 13:45,29,in
__export__.temp_log_192719_e23dfbbc,Room Admin,07-12-2018 13:45,29,in
__export__.temp_log_192718_847a39f0,Room Admin,07-12-2018 13:45,30,in
__export__.temp_log_192723_e9e40e3d,Room Admin,07-12-2018 13:45,30,in
__export__.temp_log_192713_b513634c,Room Admin,07-12-2018 13:43,29,in
__export__.temp_log_192712_1ae79f65,Room Admin,07-12-2018 13:43,29,in
__export__.temp_log_192696_bfd9f7f4,Room Admin,07-12-2018 13:35,29,in
__export__.temp_log_192697_ffbeb923,Room Admin,07-12-2018 13:35,29,in
__export__.temp_log_192691_8b0de4e7,Room Admin,07-12-2018 13:33,29,in
__export__.temp_log_192690_8bf889fd,Room Admin,07-12-2018 13:33,29,in
__export__.temp_log_192685_47059e30,Room Admin,07-12-2018 13:31,29,in
__export__.temp_log_192684_c72840b1,Room Admin,07-12-2018 13:31,29,in
__export__.temp_log_192678_fd6f51de,Room Admin,07-12-2018 13:29,29,in
__export__.temp_log_192679_b5488556,Room Admin,07-12-2018 13:29,29,in
__export__.temp_log_192673_073af3ec,Room Admin,07-12-2018 13:27,29,in
__export__.temp_log_192675_d24d9612,Room Admin,07-12-2018 13:27,29,in
__export__.temp_log_192667_aa032528,Room Admin,07-12-2018 13:25,29,in
__export__.temp_log_192664_8054f518,Room Admin,07-12-2018 13:25,29,in
__export__.temp_log_192661_0a9c6a19,Room Admin,07-12-2018 13:23,29,in
__export__.temp_log_192660_8cff71c8,Room Admin,07-12-2018 13:23,29,in
__export__.temp_log_192651_6d4a8a20,Room Admin,07-12-2018 13:21,29,in
__export__.temp_log_192650_e444a264,Room Admin,07-12-2018 13:21,29,in
__export__.temp_log_192643_765e817d,Room Admin,07-12-2018 13:19,29,in
__export__.temp_log_192642_4908d2c6,Room Admin,07-12-2018 13:19,29,in
__export__.temp_log_192634_9db19f6f,Room Admin,07-12-2018 13:13,30,in
__export__.temp_log_192635_8e7b1724,Room Admin,07-12-2018 13:13,30,in
__export__.temp_log_192626_ed54b4f0,Room Admin,07-12-2018 13:11,30,in
__export__.temp_log_192628_442e9b81,Room Admin,07-12-2018 13:11,29,in
__export__.temp_log_192627_5d6d7373,Room Admin,07-12-2018 13:11,29,in
__export__.temp_log_192629_6b9c68a2,Room Admin,07-12-2018 13:11,30,in
__export__.temp_log_192619_a47a2dce,Room Admin,07-12-2018 13:09,29,in
__export__.temp_log_192620_66fd5255,Room Admin,07-12-2018 13:09,29,in
__export__.temp_log_192621_7daece86,Room Admin,07-12-2018 13:09,30,in
__export__.temp_log_192618_fca32b37,Room Admin,07-12-2018 13:09,30,in
__export__.temp_log_192612_33f4af37,Room Admin,07-12-2018 13:07,29,in
__export__.temp_log_192610_47c6e708,Room Admin,07-12-2018 13:07,29,in
__export__.temp_log_192611_fccdbf82,Room Admin,07-12-2018 13:07,30,in
__export__.temp_log_192613_2e24d2ea,Room Admin,07-12-2018 13:07,30,in
__export__.temp_log_192606_d9eb6e89,Room Admin,07-12-2018 13:05,29,in
__export__.temp_log_192604_d9022447,Room Admin,07-12-2018 13:05,29,in
__export__.temp_log_192603_9bb5bcbe,Room Admin,07-12-2018 13:03,29,in
__export__.temp_log_192601_3a2d48e9,Room Admin,07-12-2018 13:03,29,in
